Tamaño,N,Dificultad,Scramble,Iteración,Archivo,Status,Movimientos,Nodos,Tiempo_seg,RAM_KB
3x3,3,Facil (10),10,1,tableros/3x3/Facil_10/instancia_001.txt,Resuelto,10.0,19.0,0.01947641372680664,0.8
3x3,3,Facil (10),10,2,tableros/3x3/Facil_10/instancia_002.txt,Resuelto,10.0,21.0,0.02037501335144043,0.8
3x3,3,Facil (10),10,3,tableros/3x3/Facil_10/instancia_003.txt,Resuelto,10.0,18.0,0.021577835083007812,0.8
3x3,3,Facil (10),10,4,tableros/3x3/Facil_10/instancia_004.txt,Resuelto,10.0,16.0,0.02162766456604004,0.8
3x3,3,Facil (10),10,5,tableros/3x3/Facil_10/instancia_005.txt,Resuelto,10.0,20.0,0.02076888084411621,0.8
3x3,3,Facil (10),10,6,tableros/3x3/Facil_10/instancia_006.txt,Resuelto,10.0,25.0,0.019772052764892578,0.8
3x3,3,Facil (10),10,7,tableros/3x3/Facil_10/instancia_007.txt,Resuelto,10.0,13.0,0.020630836486816406,0.8
3x3,3,Facil (10),10,8,tableros/3x3/Facil_10/instancia_008.txt,Resuelto,10.0,16.0,0.020839691162109375,0.8
3x3,3,Facil (10),10,9,tableros/3x3/Facil_10/instancia_009.txt,Resuelto,10.0,51.0,0.019572019577026367,0.8
3x3,3,Facil (10),10,10,tableros/3x3/Facil_10/instancia_010.txt,Resuelto,10.0,22.0,0.021016836166381836,0.8
3x3,3,Facil (10),10,11,tableros/3x3/Facil_10/instancia_011.txt,Resuelto,10.0,38.0,0.024677515029907227,0.8
3x3,3,Facil (10),10,12,tableros/3x3/Facil_10/instancia_012.txt,Resuelto,10.0,15.0,0.02536749839782715,0.8
3x3,3,Facil (10),10,13,tableros/3x3/Facil_10/instancia_013.txt,Resuelto,10.0,17.0,0.02153611183166504,0.8
3x3,3,Facil (10),10,14,tableros/3x3/Facil_10/instancia_014.txt,Resuelto,10.0,17.0,0.020755767822265625,0.8
3x3,3,Facil (10),10,15,tableros/3x3/Facil_10/instancia_015.txt,Resuelto,10.0,18.0,0.0196382999420166,0.8
